Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
484,Derrick Walton\waltode01,PG,24,TOT,26,1,248,3.4,7.4,.462,1.9,4.6,.417,1.5,2.9,.533,1.3,1.7,.778,0.4,2.7,3.1,5.2,1.3,0.0,1.0,4.0,10.1,,131,112
484,Derrick Walton\waltode01,PG,24,LAC,23,1,222,3.6,7.6,.472,1.9,4.5,.429,1.7,3.2,.533,1.5,1.9,.778,0.4,2.8,3.2,4.7,0.8,0.0,0.8,4.0,10.6,,133,113
484,Derrick Walton\waltode01,PG,24,DET,3,0,26,1.9,5.7,.333,1.9,5.7,.333,0.0,0.0,,0.0,0.0,,0.0,1.9,1.9,9.5,5.7,0.0,1.9,3.8,5.7,,117,107
485,Brad Wanamaker\wanambr01,PG,30,BOS,63,1,1215,5.4,12.7,.428,1.3,3.6,.367,4.1,9.1,.452,4.3,4.6,.931,0.8,4.2,4.9,6.3,2.1,0.5,2.8,4.8,16.4,,112,108
486,T.J. Warren\warretj01,SF,26,IND,61,61,1984,11.3,21.3,.529,1.7,4.5,.375,9.6,16.8,.571,3.7,4.6,.812,1.5,4.4,5.9,2.1,1.7,0.7,1.9,4.2,28.0,,115,110
487,P.J. Washington\washipj01,PF,21,CHO,58,57,1759,7.6,16.8,.455,2.4,6.6,.374,5.2,10.2,.507,2.5,3.9,.647,1.7,7.3,9.0,3.5,1.5,1.3,2.6,4.5,20.2,,105,112
488,Yuta Watanabe\watanyu01,SG,25,MEM,16,0,99,5.7,13.7,.414,1.4,3.8,.375,4.2,9.9,.429,1.4,3.8,.375,2.8,5.2,8.0,1.9,2.4,0.5,0.9,4.2,14.2,,101,111
489,Tremont Waters\watertr01,PG,22,BOS,10,0,89,6.5,19.0,.343,1.6,9.2,.176,4.9,9.8,.500,3.3,3.3,1.000,0.0,4.9,4.9,6.5,2.7,1.1,5.4,6.0,17.9,,83,106
490,Paul Watson\watsopa01,SF-SG,25,TOT,5,0,25,0.0,15.0,.000,0.0,7.5,.000,0.0,7.5,.000,1.9,3.8,.500,0.0,7.5,7.5,9.4,1.9,1.9,0.0,1.9,1.9,,46,110
490,Paul Watson\watsopa01,SG,25,ATL,2,0,17,0.0,19.2,.000,0.0,8.2,.000,0.0,11.0,.000,0.0,0.0,,0.0,5.5,5.5,8.2,2.7,0.0,0.0,2.7,0.0,,27,114
490,Paul Watson\watsopa01,SF,25,TOR,3,0,8,0.0,6.0,.000,0.0,6.0,.000,0.0,0.0,,6.0,11.9,.500,0.0,11.9,11.9,11.9,0.0,6.0,0.0,0.0,6.0,,104,100
491,Quinndary Weatherspoon\weathqu01,SG,23,SAS,3,0,15,0.0,9.6,.000,0.0,3.2,.000,0.0,6.4,.000,0.0,0.0,,0.0,3.2,3.2,3.2,0.0,0.0,0.0,0.0,0.0,,21,121
492,Russell Westbrook\westbru01,PG,31,HOU,53,53,1905,13.9,29.2,.474,1.2,4.9,.254,12.6,24.3,.518,6.6,8.4,.777,2.3,8.1,10.4,9.0,2.1,0.4,5.8,4.6,35.5,,107,109
493,Coby White\whiteco01,SG,19,CHI,65,1,1674,9.0,22.8,.394,3.8,10.8,.354,5.2,12.0,.430,2.9,3.7,.791,0.8,5.8,6.6,5.0,1.4,0.2,3.1,3.4,24.7,,100,112
494,Derrick White\whitede01,SG,25,SAS,61,13,1468,7.0,15.2,.459,1.9,5.2,.356,5.1,9.9,.513,4.9,5.7,.857,1.0,5.3,6.3,6.7,1.3,1.8,2.5,4.4,20.7,,117,114
495,Hassan Whiteside\whiteha01,C,30,POR,61,61,1911,10.4,16.9,.618,0.1,0.2,.571,10.3,16.7,.619,3.8,5.6,.680,6.1,15.6,21.7,1.8,0.6,4.7,2.9,4.5,24.8,,124,106
496,Andrew Wiggins\wiggian01,SF-SG,24,TOT,54,54,1858,11.0,24.6,.447,2.8,8.4,.332,8.2,16.2,.506,4.8,6.7,.709,1.7,5.2,6.9,5.0,1.1,1.3,3.3,3.2,29.6,,105,114
